1-1,柜号：2ZXF、2BXF,型号：,,,,名称：,,
1,壳体,500*800*200,只,1,258,258,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,隔离开关,3KD3-160A-3P-灰色手柄,只,1,340.95,340.95,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,元器件小计,,,,,598.95,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,人工费,,,,,165,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,铜排,,,,,100,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,单台合计,,,,,863.95,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,2,,1727.9,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-1229,柜号：现场启停按钮盒(带主令开关),型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,250*300*200,只,1,67.5,67.5,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,指示灯,AD16-22DS,只,3,10,30,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,按钮,LA38-11BN,只,2,20,40,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,万能转换开关,LW39,只,1,35,35,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,元器件小计,,,,,172.5,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,人工费,,,,,66,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,铜排,,,,,20,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,单台合计,,,,,258.5,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,50,,12925,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-1230,柜号：制冷站房外启停按钮盒,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,250*300*200,只,1,67.5,67.5,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,指示灯,AD16-22DS,只,3,10,30,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,按钮,LA38-11BN,只,2,20,40,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,万能转换开关,LW39,只,1,35,35,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,元器件小计,,,,,172.5,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,人工费,,,,,66,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,铜排,,,,,20,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,单台合计,,,,,258.5,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,5,,1292.5,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-1231,柜号：事故风机启停按钮盒,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,250*300*200,只,1,67.5,67.5,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,指示灯,AD16-22DS,只,3,10,30,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,按钮,LA38-11BN,只,2,20,40,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,万能转换开关,LW39,只,1,35,35,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,元器件小计,,,,,172.5,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,人工费,,,,,66,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,铜排,,,,,20,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,单台合计,,,,,258.5,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,30,,7755,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-1232,柜号：ACKT-22KW,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,800*1800*600 IP55,只,1,1332,1332,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,小型隔离开关,5TH1(P50) 100A 3P,只,1,111.41,111.41,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,塑壳断路器,D1C 125 MF80/960 F F 3P,只,1,230.37,230.37,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,变频器,6SL32201YD320UB0,只,1,5241.7,5241.7,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,微型断路器,E50 MCB 1P D16A 6kA,只,3,16.19,48.57,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,交流接触器,LC1R80M5N+LARN22N,只,1,187.39,187.39,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,交流接触器,LC1R40M5N+LARN22N,只,2,92.32,184.64,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,热继电器,LRR10N,只,1,27.57,27.57,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,元器件小计,,,,,7363.65,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,人工费,,,,,715,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,铜排,,,,,75,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,单台合计,,,,,8153.65,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,5,,40768.25,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-1233,柜号：ACKT-11KW,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,800*1600*600 IP55,只,1,1200,1200,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,小型隔离开关,5TH1(P50) 63A 3P,只,1,61.86,61.86,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,塑壳断路器,D1C 125 MF40/480 F F 3P,只,1,230.37,230.37,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,变频器,6SL32201YD260UB0,只,1,3053.86,3053.86,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,微型断路器,E50 MCB 1P D16A 6kA,只,3,16.19,48.57,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,交流接触器,LC1R80M5N+LARN22N,只,1,187.39,187.39,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,交流接触器,LC1R40M5N+LARN22N,只,2,92.32,184.64,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,热继电器,LRR10N,只,1,27.57,27.57,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,元器件小计,,,,,4994.26,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,人工费,,,,,715,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,铜排,,,,,75,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,单台合计,,,,,5784.26,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,9,,52058.34,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-1234,柜号：ACKT-15KW,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,800*1600*600 IP55,只,1,1200,1200,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,小型隔离开关,5TH1(P50) 63A 3P,只,1,61.86,61.86,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,塑壳断路器,D1C 125 MF40/480 F F 3P,只,1,230.37,230.37,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,变频器,6SL32201YD280UB0,只,1,3890.21,3890.21,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,微型断路器,E50 MCB 1P D16A 6kA,只,3,16.19,48.57,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,交流接触器,LC1R80M5N+LARN22N,只,1,187.39,187.39,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,交流接触器,LC1R40M5N+LARN22N,只,2,92.32,184.64,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,热继电器,LRR10N,只,1,27.57,27.57,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,元器件小计,,,,,5830.61,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,人工费,,,,,715,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,铜排,,,,,75,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,单台合计,,,,,6620.61,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,10,,66206.1,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-1235,柜号：ACKT-18.5KW,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,800*1800*600 IP55,只,1,1332,1332,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,小型隔离开关,5TH1(P50) 63A 3P,只,1,61.86,61.86,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,塑壳断路器,D1C 125 MF50/600 F F 3P,只,1,230.37,230.37,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,变频器,6SL32201YD300UB0,只,1,4592.4,4592.4,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,微型断路器,E50 MCB 1P D16A 6kA,只,3,16.19,48.57,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,交流接触器,LC1R80M5N+LARN22N,只,1,187.39,187.39,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,交流接触器,LC1R40M5N+LARN22N,只,2,92.32,184.64,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,热继电器,LRR10N,只,1,27.57,27.57,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,元器件小计,,,,,6664.8,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,人工费,,,,,715,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
